ID;Gemeente_Code;Gemeente_Naam;Provincie_Code;Provincie_Naam;Bevolking_Aantallen;zwaartepunt_x;zwaartepunt_y;oppervlakte_m2
0;GM0141;Almelo;PV23;Overijssel;74776;241600.28245741705;485202.0121209544;69406297.09413244
1;GM0717;Veere;PV29;Zeeland;21945;30017.232287083047;398619.08468315256;206552570.43312594
2;GM0109;Coevorden;PV22;Drenthe;35860;246081.33563944127;528950.5091061625;299690096.13020164
3;GM0358;Aalsmeer;PV27;Noord-Holland;33250;111836.9988567156;474595.0888243572;32286067.37127256
4;GM0394;Haarlemmermeer;PV27;Noord-Holland;165255;107209.79603365653;480243.65284000133;206313021.84173435
5;GM0297;Zaltbommel;PV25;Gelderland;30412;139217.76188942627;422651.56148911064;89042926.23068662
6;GM1970;Noardeast-Fryslân;PV21;Fryslân;45864;196082.07094680268;596346.2235707382;516450590.41523737
7;GM0197;Aalten;PV25;Gelderland;27466;235716.9255726132;437680.7498466876;97052390.83058457
8;GM0569;Nieuwkoop;PV28;Zuid-Holland;29521;113425.08125822169;464911.2845696443;91162781.46273197
9;GM0106;Assen;PV22;Drenthe;70392;233224.83116222586;557777.8957350556;83452197.79341306
10;GM1714;Sluis;PV29;Zeeland;23094;25099.42113209845;373234.9882249329;307164052.97931
11;GM0484;Alphen aan den Rijn;PV28;Zuid-Holland;115773;103884.16837244092;458606.3856957891;132495868.43878156
12;GM1659;Laarbeek;PV30;Noord-Brabant;23324;170582.8325186362;393572.7913814813;56166123.74501793
13;GM0432;Opmeer;PV27;Noord-Holland;12491;125691.29456798313;525409.1342409695;41943395.527690955
14;GM1900;Súdwest-Fryslân;PV21;Fryslân;90534;159972.5979865622;556768.791761165;907858980.1643325
15;GM0420;Medemblik;PV27;Noord-Holland;45934;138588.9146117222;531458.1849416344;257561715.60997286
16;GM1930;Nissewaard;PV28;Zuid-Holland;88341;78824.51289885331;427591.5569994275;83794484.42333701
18;GM0736;De Ronde Venen;PV26;Utrecht;45921;122892.84980822974;471021.5597479786;116979238.07053366
19;GM1949;Waadhoeke;PV21;Fryslân;46857;170085.10933400795;582777.8205721625;315820586.1840561
20;GM0203;Barneveld;PV25;Gelderland;63152;172421.6626517261;464491.14628657687;176659563.9949779
21;GM0327;Leusden;PV26;Utrecht;31911;157002.62433530425;459334.5684719834;58893057.25243104
22;GM1924;Goeree-Overflakkee;PV28;Zuid-Holland;52185;66119.6380388399;418960.1930143362;422347879.80123276
23;GM0879;Zundert;PV30;Noord-Brabant;22809;103276.38696627817;388125.2604863269;121207154.67995477
24;GM1960;West Betuwe;PV25;Gelderland;53253;142748.87640613172;430352.9163335556;229121400.73207858
25;GM1966;Het Hogeland;PV20;Groningen;48178;231495.44066727968;605269.1437579198;903081304.9842724
26;GM1969;Westerkwartier;PV20;Groningen;64841;218511.2329130216;581740.281710193;368872721.326837
27;GM0377;Bloemendaal;PV27;Noord-Holland;23592;100150.80445260626;488979.32169368124;45227786.54430349
28;GM0299;Zevenaar;PV25;Gelderland;45215;203015.86483453418;437522.33000008867;106104359.4858627
29;GM0225;Druten;PV25;Gelderland;19748;170490.4726320407;431853.9467432977;42457472.53724151
30;GM0893;Bergen (L.);PV31;Limburg;13062;203657.9414278761;400568.1885771268;108495099.18381798
31;GM1774;Dinkelland;PV23;Overijssel;26728;258978.6852442859;488333.2735331732;176826820.56380588
32;GM0383;Castricum;PV27;Noord-Holland;36618;106727.22907681398;507912.0132001981;60403488.238324456
33;GM0074;Heerenveen;PV21;Fryslân;51863;194666.27803144406;556720.6600338302;198165256.88507852
34;GM1940;De Fryske Marren;PV21;Fryslân;52235;174076.42173185566;545026.5438427945;549103150.8842263
35;GM0183;Tubbergen;PV23;Overijssel;21507;249538.28252231405;492324.66913440893;147441415.06339034
36;GM0482;Alblasserdam;PV28;Zuid-Holland;20242;105306.02235616742;430924.0421561786;10060080.5800585
37;GM0080;Leeuwarden;PV21;Fryslân;129973;182465.05112011047;576003.4358610425;255055231.61709628
39;GM0737;Tytsjerksteradiel;PV21;Fryslân;32821;193458.86986422347;579400.0155236482;161405570.9648172
41;GM0263;Maasdriel;PV25;Gelderland;26289;148769.53317720944;420846.12125893426;75462009.09801343
42;GM0361;Alkmaar;PV27;Noord-Holland;112896;115442.26129150657;512852.7157310614;117346486.04070774
45;GM0262;Lochem;PV25;Gelderland;34316;220635.8324651024;466139.0599038777;215942010.3137376
46;GM0034;Almere;PV24;Flevoland;229574;142644.4612503873;490530.6477296257;248766090.6631438
47;GM1959;Altena;PV30;Noord-Brabant;58726;124538.91730228884;419756.60602582496;226642947.6085562
48;GM0668;West Maas en Waal;PV25;Gelderland;20594;162536.93358560427;429234.2004958545;85209116.78501894
