ID;Gemeente_Code;Gemeente_Naam;Provincie_Code;Provincie_Naam;Bevolking_Aantallen
0;GM0141;Almelo;PV23;Overijssel;74776
1;GM0717;Veere;PV29;Zeeland;21945
2;GM0109;Coevorden;PV22;Drenthe;35860
3;GM0358;Aalsmeer;PV27;Noord-Holland;33250
4;GM0394;Haarlemmermeer;PV27;Noord-Holland;165255
5;GM0297;Zaltbommel;PV25;Gelderland;30412
6;GM1970;Noardeast-Fryslân;PV21;Fryslân;45864
7;GM0197;Aalten;PV25;Gelderland;27466
8;GM0569;Nieuwkoop;PV28;Zuid-Holland;29521
9;GM0106;Assen;PV22;Drenthe;70392
10;GM1714;Sluis;PV29;Zeeland;23094
11;GM0484;Alphen aan den Rijn;PV28;Zuid-Holland;115773
12;GM1659;Laarbeek;PV30;Noord-Brabant;23324
13;GM0432;Opmeer;PV27;Noord-Holland;12491
14;GM1900;Súdwest-Fryslân;PV21;Fryslân;90534
15;GM0420;Medemblik;PV27;Noord-Holland;45934
16;GM1930;Nissewaard;PV28;Zuid-Holland;88341
18;GM0736;De Ronde Venen;PV26;Utrecht;45921
19;GM1949;Waadhoeke;PV21;Fryslân;46857
20;GM0203;Barneveld;PV25;Gelderland;63152
21;GM0327;Leusden;PV26;Utrecht;31911
22;GM1924;Goeree-Overflakkee;PV28;Zuid-Holland;52185
23;GM0879;Zundert;PV30;Noord-Brabant;22809
24;GM1960;West Betuwe;PV25;Gelderland;53253
25;GM1966;Het Hogeland;PV20;Groningen;48178
26;GM1969;Westerkwartier;PV20;Groningen;64841
27;GM0377;Bloemendaal;PV27;Noord-Holland;23592
28;GM0299;Zevenaar;PV25;Gelderland;45215
29;GM0225;Druten;PV25;Gelderland;19748
30;GM0893;Bergen (L.);PV31;Limburg;13062
31;GM1774;Dinkelland;PV23;Overijssel;26728
32;GM0383;Castricum;PV27;Noord-Holland;36618
33;GM0074;Heerenveen;PV21;Fryslân;51863
34;GM1940;De Fryske Marren;PV21;Fryslân;52235
35;GM0183;Tubbergen;PV23;Overijssel;21507
36;GM0482;Alblasserdam;PV28;Zuid-Holland;20242
37;GM0080;Leeuwarden;PV21;Fryslân;129973
39;GM0737;Tytsjerksteradiel;PV21;Fryslân;32821
41;GM0263;Maasdriel;PV25;Gelderland;26289
42;GM0361;Alkmaar;PV27;Noord-Holland;112896
45;GM0262;Lochem;PV25;Gelderland;34316
46;GM0034;Almere;PV24;Flevoland;229574
47;GM1959;Altena;PV30;Noord-Brabant;58726
48;GM0668;West Maas en Waal;PV25;Gelderland;20594
